Date (M-Y),Fixed ticket
2013-5,4
2013-6,5
2013-7,20
2013-8,16
2013-9,14
2013-10,17
2013-11,34
2013-12,9
2014-1,25
2014-2,18
2014-3,40
2014-4,11
2014-5,34
2014-6,7
2014-7,14
2014-8,68
2014-9,67
2014-10,58
2014-11,72
2014-12,46
2015-1,20
2015-2,24
2015-3,46
2015-4,39
2015-5,25
2015-6,61
2015-7,33
2015-8,50
2015-9,72
2015-10,52
2015-11,35
2015-12,45
2016-1,65
2016-2,43
2016-3,21
2016-4,33
2016-5,52
2016-6,43
2016-7,46
2016-8,39
2016-9,6
2016-10,8
2016-11,14
2016-12,30
2017-1,22
2017-2,20
2017-3,5
2017-4,0
2017-5,0
2017-6,1
2017-7,0
2017-8,1
2017-9,1
2017-10,3
2017-11,0
2017-12,0
2018-1,2
2018-2,6
2018-3,3
2018-4,3
2018-5,0
2018-6,1
2018-7,0
2018-8,6
